"CUSNUM","LSTNAM","INIT","STREET","CITY","STATE","ZIPCOD","CDTLMT","CHGCOD","BALDUE","CDTDUE"
938472,"Hennings","GHK","4859 Elm Ave","Dallas","TX",75217,5000,3,78.0,1234.56
839283,"Jones","J P","21B NW 135 St","Clay","NY",13042,400,1,100.0,0
392859,"Vine","S S","PO Box 79","Broton","VT",5046,700,1,439.0,0
938485,"Johnson","J A","3 Alpine Way","Helen","GA",30545,9999,2,3987.5,33.5
397267,"Tyron","W E","13 Myrtle Dr","Hector","NY",14841,1000,1,0,0
389572,"Stevens","K L","208 Snow Pass","Denver","CO",80226,400,1,58.75,2.5
846283,"Alison","J S","787 Lake Dr","Isle","MN",56342,5000,3,10.0,0
475938,"Doe","J W","59 Archer Rd","Sutter","CA",95685,700,2,250.0,100.0
693829,"Thomas","A N","3 Dove Circle","Casper","WY",82609,9999,2,0,0
593029,"Williams","E D","485 SE 2 Ave","Dallas","TX",75218,200,1,25.0,0
192837,"Lee","F L","5963 Oak St","Hector","NY",14841,700,2,489.5,.5
583990,"Abraham","M T","392 Mill St","Isle","MN",56342,9999,3,500.0,0
